text,score,score1,score2,score3,score4,score5
"Перед тем, как поймать ртом снежинку, убедитесь, что все птицы улетели.",4.4,4,5,5,3,5
"Знак ""Осторожно, дети"" надо ставить в самой школе.",4.2,5,5,1,5,5
"Совет всем, кто в спешке пользуется принтером. Не давайте принтеру понять, что вы куда-то торопитесь. Они чувствуют страх.",4.0,5,5,3,3,4
Два - это тоже в какой-то степени восемь.,4.0,5,4,3,5,3
"- Алло! Это общество охраны животных? Прошу вас, пришлите сюда кого-нибудь. У нас во дворе сидит на дереве почтальон и оскорбляет нашего дога.",4.0,4,5,3,3,5
Печальный юбилей: электрику стукнуло 380...,3.8,3,3,4,4,5
Не удалось возглавить атаку? Держись позади и у тебя появится шанс возглавить отступление.,3.8,4,5,5,2,3
"Ничего не помню. Помню, только Леха из-под стола сказал: «Ребята, а у вас тут гамбургер упал». Проснулся утром, черепахи нет.",3.8,5,5,1,4,4
"Прикольно смотреть на знак Ограничение скорости 100 км/час на МКАДе, когда на него смотришь непрерывно вот уже три часа.",3.8,4,4,4,4,3
"В новогоднюю ночь тест на трезвость не прошли 7 автолюбителей, а 177 прошли, но дорого.",3.8,4,5,2,4,4
"- Знаете, я изобрёл новый способ разбогатеть! - Знаю, но у меня вы уже занимали.",3.8,3,5,5,4,2
Объявление в деканате: Вниманию студентов! Изменились правила сдачи экзаменов. С этой сессии сдача экзаменов производится следующим образом: 1-й раз – Преподавателю 2-й раз – Комиссии из преподавателей 3-й раз – Комиссии из районного военкомата,3.8,4,2,5,4,4
"Ничего, ничего. Скоро опять миллионерами станем. Причем все.",3.8,4,4,3,5,3
"Позорюсь каждый раз, как в первый раз.",3.8,1,3,5,5,5
"Единственное, что я понимаю в арбузах – это если я по арбузу постучал, а из него постучали в ответ, то вот это прям однозначно плохой арбуз.",3.6,4,4,3,2,5
"Издан новый школьный учебник по анатомии. Там сразу всё, что нужно, уже подрисовано...",3.6,2,3,4,5,4
"Чтобы что-то изменить в этой стране, вам потребуются терпение, спокойствие и выдержка - эти неотъемлемые качества настоящего снайпера.",3.6,2,5,5,5,1
- Хотелось бы сразу приступить к работе. Объясни мне задачу в двух словах. - Надо сделать.,3.6,3,3,5,5,2
"Фотограф Андрей вышел покурить на балкон и обнаружил, что горизонт завален.",3.6,5,4,3,3,3
Он пришел сообщить мне две новости. Плохую и хорошую. Хорошую не успел.,3.6,5,2,5,5,1
В 1975 году у меня конфисковали самогонный аппарат. Вчера видел его на выставке «Модернизация и нанотехнологии».,3.6,4,3,4,5,2
"На жизнь надо смотреть позитивно. Например, если вас долбануло током, то в этом был не только минус, но и плюс.",3.6,4,2,3,4,5
"К сожалению, у некоторых из мудрости только зубы...",3.6,3,5,5,3,2
Гадалка - клиенту: - У вас яркое будущее... Высокая должность... Красная машина... Вы быстро карабкаетесь по лестнице... - Ну да! Я же пожарный!,3.6,2,3,5,3,5
"Ждем преподавателя, он опаздывает. Пишу ему смс ""пары не будет"" и забываю в конце написать знак вопроса, через минуту приходит ""ок""",3.6,3,2,4,4,5
"- Милый, расскажи мне сказку на ночь. - Я тебя люблю. Спи.",3.6,4,1,5,4,4
На соревнованиях по плаванию электрик Сидоров замкнул тройку лидеров.,3.6,3,5,4,3,3
На прошлой неделе молодой пилот на Як-18 Ганна Стецюк впервые преодолела звуковой барьер. Ей удалось вставить две свои фразы в разговор свекрухи с тремя соседками по загородной даче.,3.6,4,4,2,4,4
Только мужчины после заправки на АЗС трясут пистолет в баке.,3.6,4,3,5,4,2
"В номер стучится официант: - Вам кофе в постель? - Нет, лучше в чашечку!",3.6,3,5,5,1,4
Бабушка Майка Тайсона укладывала внука спать с двух ударов.,3.6,3,1,5,5,4
"Админу на годовщину фирмы хотели вручить грамоту ""Самый неуловимый сотрудник"". Но не смогли - не нашли...",3.4,5,3,4,2,3
"- Алло! Скажите, почему ваш антивирус так долго проверяет фильм? - А как вы хотели? Он его смотрит!",3.4,5,2,5,1,4
"АвтоВАЗ остановил конвейер, но все равно уверенно сохраняет 20-процентную долю на мировом рынке анекдотов.",3.4,4,3,5,4,1
"Барон Ротшильд погружён в дела. Приходит посетитель. Ротшильд, не отрываясь от бумаг: - Возьмите себе стул. Через несколько минут посетитель теряет терпение и говорит: - Я - князь фон Турн-унд-Таксис. - Тогда возьмите два стула.",3.4,5,3,4,3,2
"Российская сборная закончила выступление на Олимпиаде и в полном составе улетела домой, в Америку.",3.4,3,2,5,3,4
"У моей кошки растроение личности: одна из них меня любит, другая опасается и презирает, а третья вообще меня не знает!",3.4,3,4,4,3,3
"Табличка на стене в отделе компьютерной поддержки: Теория - это когда вы знаете всё, но ничего не работает. Практика - это когда всё работает, но никто не знает почему. Здесь мы совмещаем теорию и практику - ничего не работает и никто не знает почему!.",3.4,3,4,5,3,2
Первые подозрения о существовании тёмной материи возникли когда стали считать остатки по складам.,3.4,2,3,5,3,4
"Бомж, укравший в супермаркете тележку, трое суток безнаказанно ночевал в Музее современного искусства под табличкой Бомж и тележка.",3.4,3,4,4,3,3
"Она так часто посещала поликлинику, что покупала аксессуары под цвет бахил.",3.4,3,4,3,4,3
Сотрудники Эльдорадо скидываются на новогодний корпоратив по 1999 рублей.,3.4,2,5,1,5,4
"- А я вчера в военкомате сказку смотрел. Как один мужик двух генералов прокормил, и его сын в армию не пошел.",3.4,4,2,5,2,4
Мой лучший результат в беге на три километра — двести метров.,3.4,2,2,4,4,5
"Моя жена часто обвиняет меня в том, что я люблю одного из наших детей больше другого. Это не правда, я люблю Андрея и не-Андрея одинаково.",3.4,5,3,4,2,3
"Самое страшное в тайге - это серые волки, бурые медведи и голубые лесники.",3.4,5,3,1,5,3
"Недалёкие люди, встретившись, обмениваются жалобами на жизнь. Мудрые люди, встретившись, обмениваются анекдотами.",3.4,4,4,5,2,2
"Собака верная? Не то слово, уже пятый раз продаю.",3.4,3,3,5,3,3
"Блондинка спрашивает подругу, сдававшую на права в ГАИ: - Ну как, сдала? - Не знаю, инспектор погиб...",3.4,1,2,5,4,5
"Хозяин предупреждает гостей: - Ради бога, господа, только не садитесь на этот диван! Он кишит клопами. - Почему вы не выкинете его? - Пробовали! Они его назад приносят.",3.4,3,4,3,2,5
"Эстонской акушерке пришлось повозиться с новорожденным, поэтому у него в графе дата рождения записано март-апрель 2012 года.",3.4,1,1,5,5,5
Вертел я вашу теорию вероятности в 3 случаях из 4!,3.4,3,5,4,1,4
"Когда мужчина остаётся дома один, его холодильник набирает до ста просмотров за вечер.",3.4,4,4,3,4,2
"Встречайте! Новый ""Орбит"" со смещенным центром тяжести: вкусно справа.",3.4,5,4,1,2,5
"Работник пекарни с 20-летним стажем, когда спит, каждые 15 минут переворачивает жену.",3.4,3,5,4,2,3
"Отправила свекровь в круиз на теплоходе Чапаев. Не Титаник, конечно - но надежда есть.",3.4,5,2,5,3,2
